code,mdc,pdc,cc,maincc,ccrow,hiv_ax,trauma,sex,accpdx,ageduse,agemin,agemax,agedmin
Q652,08,8R,0,,0,,N,B,Y,N,0,124,0
M4610,08,8H,0,,0,,N,B,Y,N,0,124,0
D552,16,16A,0,,0,,N,B,Y,N,0,124,0
S8080,09,9H,0,,0,,0,B,Y,N,0,124,0
S52709,08,8Q,0,,0,,0,B,Y,N,0,124,0
D419,11,11C,0,,0,,N,B,Y,N,0,124,0
C12,03,3A,0,,0,,N,B,Y,N,0,124,0
I119,05,5H,0,,0,,N,B,Y,N,1,124,0
M2562,08,8L,0,,0,,N,B,Y,N,0,124,0
B880,09,9D,0,,0,,N,B,Y,N,0,124,0
M2387,08,8Q,0,,0,,N,B,Y,N,0,124,0
E039,10,10E,0,,0,,N,B,Y,N,0,124,0
M5448,08,8H,0,,0,,N,B,Y,N,0,124,0
Q668,08,8R,0,,0,,N,B,Y,N,0,124,0
S913,21,21A,0,,0,,0,B,Y,N,0,124,0
M7210,08,8M,0,,0,,N,B,Y,N,0,124,0
Q673,08,8R,0,,0,,N,B,Y,N,0,124,0
N803,13,13F,0,,0,,N,F,Y,N,1,124,0
N144,11,11K,0,,0,,N,B,Y,N,0,124,0
B834,18,18H,0,,0,,N,B,Y,N,0,124,0
M6737,08,8M,0,,0,,N,B,Y,N,0,124,0
D481,08,8R,0,,0,,N,B,Y,N,0,124,0
B882,09,9D,0,,0,,N,B,Y,N,0,124,0
S4088,09,9H,0,,0,,0,B,Y,N,0,124,0
L230,09,9D,0,,0,,N,B,Y,N,0,124,0
F83,19,19J,0,,0,,N,B,Y,Y,0,124,28
Q680,08,8R,0,,0,,N,B,Y,N,0,124,0
Q681,08,8R,0,,0,,N,B,Y,N,0,124,0
A243,18,18J,0,,0,,N,B,Y,N,0,124,0
M223,08,8Q,0,,0,,N,B,Y,N,0,124,0
D076,12,12A,0,,0,,N,M,Y,N,0,124,0
S431,08,8Q,0,,0,,0,B,Y,N,0,124,0
Q6881,08,8R,0,,0,,N,B,Y,N,0,124,0
O067,14,14K,0,,0,,N,F,Y,N,9,60,0
R230,23,23B,0,,0,,N,B,Y,N,0,124,0
Q6884,08,8R,0,,0,,N,B,Y,N,0,124,0
M8209,08,8J,0,,0,,N,B,N,N,0,124,0
H185,02,2D,0,,0,,N,B,Y,N,0,124,0
K0062,03,3H,0,,0,,N,B,Y,N,0,124,0
M400,08,8H,0,,0,,N,B,Y,N,0,124,0
P025,15,,0,,0,,N,B,Y,N,0,0,0
M1997,08,8J,0,,0,,N,B,Y,N,0,124,0
F603,19,19H,0,,0,,N,B,Y,N,0,124,0
H622,03,3G,0,,0,,N,B,N,N,0,124,0
D648,16,16A,0,,0,,N,B,Y,N,0,124,0
M4709,01,1U,0,,0,,N,B,Y,N,0,124,0
S92319,08,8P,0,,0,,0,B,Y,N,0,124,0
Q713,08,8R,0,,0,,N,B,Y,N,0,124,0
K429,06,6J,0,,0,,N,B,Y,N,0,124,0
P120,15,,0,,0,,N,B,Y,N,0,0,0
D1808,05,5R,0,,0,,N,B,Y,N,0,124,0
Q8283,09,9D,0,,0,,N,B,Y,N,0,124,0
C041,03,3A,0,,0,,N,B,Y,N,0,124,0
K1218,03,3H,0,,0,,N,B,Y,N,0,124,0
Z822,23,23D,0,,0,,N,B,Y,N,0,124,0
D017,06,6A,0,,0,,N,B,Y,N,0,124,0
F421,19,19G,0,,0,,N,B,Y,N,0,124,0
Z437,13,13F,0,,0,,N,F,Y,N,0,124,0
Q720,08,8R,0,,0,,N,B,Y,N,0,124,0
Q123,02,2D,0,,0,,N,B,Y,N,0,124,0
Q722,08,8R,0,,0,,N,B,Y,N,0,124,0
Q723,08,8R,0,,0,,N,B,Y,N,0,124,0
M7199,08,8M,0,,0,,N,B,Y,N,0,124,0
K1161,03,3G,0,,0,,N,B,Y,N,0,124,0
M6289,08,8M,0,,0,,N,B,Y,N,0,124,0
Z831,23,23D,0,,0,,N,B,Y,N,0,124,0
Q726,08,8R,0,,0,,N,B,Y,N,0,124,0
P014,15,,0,,0,,N,B,Y,N,0,0,0
Q728,08,8R,0,,0,,N,B,Y,N,0,124,0
Q730,08,8R,0,,0,,N,B,Y,N,0,124,0
I790,05,5F,0,,0,,N,B,N,N,0,124,0
Q180,03,3G,0,,0,,N,B,Y,N,0,124,0
Q451,07,7C,0,,0,,N,B,Y,N,0,124,0
L574,09,9D,0,,0,,N,B,Y,N,0,124,0
M5457,08,8H,0,,0,,N,B,Y,N,0,124,0
L752,09,9D,0,,0,,N,B,Y,N,0,124,0
Q750,08,8R,0,,0,,N,B,Y,N,0,124,0
Z812,23,23D,0,,0,,N,B,Y,N,0,124,0
N055,11,11K,0,,0,E,N,B,Y,N,0,124,0
Q7502,08,8R,0,,0,,N,B,Y,N,0,124,0
P289,15,,0,,0,,N,B,Y,N,0,0,0
M6292,08,8M,0,,0,,N,B,Y,N,0,124,0
N926,13,13F,0,,0,,N,F,Y,N,1,124,0
M8088,08,8E,0,,0,,N,B,Y,N,0,124,0
K0512,03,3H,0,,0,,N,B,Y,Y,0,124,28
K312,06,6H,0,,0,,N,B,Y,N,0,124,0
S62116,08,8P,0,,0,,0,B,Y,N,0,124,0
Q849,09,9D,0,,0,,N,B,Y,N,0,124,0
M0205,08,8J,0,,0,,N,B,Y,N,0,124,0
M7784,08,8M,0,,0,,N,B,Y,N,0,124,0
M5422,08,8H,0,,0,,N,B,Y,N,0,124,0
Q850,01,1U,0,,0,,N,B,Y,N,0,124,0
N940,13,13F,0,,0,,N,F,Y,N,1,124,0
K044,03,3H,0,,0,,N,B,Y,Y,0,124,28
H182,02,2D,0,,0,,N,B,Y,N,0,124,0
Q767,04,4Q,0,,0,,N,B,Y,N,0,124,0
Q219,05,5J,0,,0,,N,B,Y,N,0,124,0
Q770,08,8R,0,,0,,N,B,Y,N,0,124,0
K297,06,6M,0,,0,,N,B,Y,N,0,124,0
G241,01,1D,0,,0,,N,B,Y,N,0,124,0
T198,11,11H,0,,0,,N,B,Y,N,0,124,0
C320,03,3A,0,,0,,N,B,Y,N,0,124,0
M1251,08,8J,0,,0,,N,B,Y,N,0,124,0
Q777,08,8R,0,,0,,N,B,Y,N,0,124,0
T384,21,21C,0,,0,,N,B,Y,N,0,124,0
T158,02,2C,0,,0,,N,B,Y,N,0,124,0
H527,02,2D,0,,0,,N,B,Y,N,0,124,0
M184,08,8J,0,,0,,N,B,Y,N,0,124,0
M8963,08,8R,0,,0,,N,B,Y,N,0,124,0
K902,06,6H,0,,0,,N,B,Y,N,0,124,0
Q792,06,6J,0,,0,,N,B,Y,N,0,124,0
I7081,05,5F,0,,0,,N,B,Y,N,1,124,0
Z821,23,23D,0,,0,,N,B,Y,N,0,124,0
Z011,30,,0,,0,,N,B,N,N,0,124,0
Z468,23,23D,0,,0,,N,B,Y,N,0,124,0
Q800,09,9D,0,,0,,N,B,Y,N,0,124,0
T410,21,21C,0,,0,,N,B,Y,N,0,124,0
M0233,08,8F,0,,0,,N,B,Y,N,16,124,0
F21,19,19B,0,,0,,N,B,Y,N,0,124,0
Q809,09,9C,0,,0,,N,B,Y,N,0,124,0
F913,19,19J,0,,0,,N,B,Y,N,0,124,0
M6651,08,8M,0,,0,,N,B,Y,N,0,124,0
M863,08,8D,0,,0,,N,B,Y,N,0,124,0
I059,05,5K,0,,0,,N,B,Y,N,0,124,0
O220,14,14B,0,,0,,N,F,Y,N,9,60,0
M1009,08,8J,0,,0,,N,B,Y,N,0,124,0
Q821,09,9B,0,,0,,N,B,Y,N,0,124,0
Q822,09,9C,0,,0,,N,B,Y,N,0,124,0
M8330,08,8J,0,,0,,N,B,Y,N,16,124,0
D227,09,9D,0,,0,,N,B,Y,N,0,124,0
B872,09,9D,0,,0,,N,B,Y,N,0,124,0
M4904,08,8D,0,,0,,N,B,N,N,0,124,0
M8642,08,8D,0,,0,,N,B,Y,N,0,124,0
Q7133,08,8R,0,,0,,N,B,Y,N,0,124,0
I228,05,5A,0,,0,,N,B,Y,N,1,124,0
L632,09,9D,0,,0,,N,B,Y,N,0,124,0
H433,02,2D,0,,0,,N,B,Y,N,0,124,0
